node_id,degree,runtime
131430,1,13.302623759955168
456676,3,14.165619205217808
133221,1,12.898577583022416
673774,1,14.13213003706187
645040,1,13.163811018690467
379641,2,13.166772676631808
222684,1,12.83536319481209
694564,1,12.645529254339635
29874,4,14.088717713020742
515232,2,12.93815387180075
596998,1,13.05310938321054
638017,1,12.970206850674003
91000,22,12.941500888206065
10516,46,12.947544302325696
469726,1,12.7105627739802
500961,2,12.578941716812551
448401,1,13.738068298902363
425422,1,12.733230136800557
135306,1,12.584220292977989
128482,2,13.836837569717318
589974,1,12.900235628709197
466625,1,12.689668396953493
491290,1,12.4030224760063
501200,1,13.899607975035906
666105,1,12.826733719091862
168926,1,12.800688265822828
238279,1,12.61736209737137
9586,652,12.506412487942725
282762,1,13.87299408018589
224393,4,12.775367776863277
134508,4,12.655653333757073
162935,1,14.219774678815156
10297,345,13.17330326512456
489235,1,11.361207331065089
180626,4,13.81737805204466
655409,1,12.717428917065263
535910,3,14.118240796029568
535620,1,12.970189713407308
589947,1,13.076161275152117
218173,13,12.854634733870625
273070,4,12.981330568902194
86700,4,12.630620217882097
496805,1,13.99766847025603
341036,1,13.127503871917725
35407,1,13.170025828760117
628816,2,13.125959513243288
519532,1,12.997362392954528
636504,1,12.934391561895609
100699,6,12.862340738996863
408459,1,12.464523936156183
243574,2,13.82115637511015
629062,1,12.775149825029075
256405,3,12.695986000820994
211613,4,12.566178604960442
383864,2,13.732682809233665
49002,14,12.740188593044877
334040,1,12.78209830634296
295823,2,12.760522222612053
31915,1,12.47241147980094
253742,9,13.692933851853013
644231,1,12.745192971080542
609600,1,12.502136328723282
558659,1,13.762273085769266
224032,9,12.70305607886985
62318,18,12.647516037803143
488993,1,12.62420478509739
516844,1,14.031987477093935
406809,3,12.904894740786403
98653,9,12.900801816955209
142906,1,12.705438954290003
195346,1,12.60704543394968
679506,1,13.815797650255263
673830,1,12.617024559061974
553822,1,12.489453112706542
474226,1,13.864473436959088
372993,1,13.033233756199479
72000,12,11.338698767591268
326211,2,13.436433887574822
307501,1,12.454291206784546
46755,1,14.051708976272494
409821,1,13.009893123991787
379082,2,12.867465883959085
634208,2,12.798410144168884
560436,7,12.707765511702746
121401,5,12.598838332109153
511641,1,13.977866046130657
423965,1,13.040031060110778
379184,1,13.031089898198843
595,305,12.913842903915793
200521,2,12.75946100987494
384841,2,12.822137199807912
342276,1,12.629659710917622
129924,4,12.356480594258755
205445,8,13.81892089964822
606420,1,12.671316468622535
519514,1,12.610005169641227
126478,1,12.477293119765818
243379,4,13.887473915703595
215340,5,12.874956449028105
530655,1,12.733834212645888
449636,1,12.82306384993717
163433,14,12.425646948162466
322487,1,13.66786448797211
199380,10,12.557262104935944
48692,3,12.40903238626197
475157,1,13.73340128781274
5590,520,12.748375094961375
326885,1,12.602710416074842
